date,stock,Sentiment_score,headline_count
2025-04-01,BAJFINANCE,0.0,0
2025-04-01,BEL,0.0,0
2025-04-01,BHARTIARTL,0.0,0
2025-04-01,CIPLA,0.0,0
2025-04-01,COALINDIA,0.0,0
2025-04-01,DRREDDY,0.0,0
2025-04-01,EICHERMOT,0.0,0
2025-04-01,ETERNAL,0.0,0
2025-04-01,GRASIM,0.0,0
2025-04-01,HCLTECH,0.0,0
2025-04-01,HDFCBANK,0.0,0
2025-04-01,HDFCLIFE,0.0,0
2025-04-01,HINDALCO,0.0,0
2025-04-01,HINDUNILVR,0.0,0
2025-04-01,ICICIBANK,0.0,0
2025-04-01,INDIGO,0.0,0
2025-04-01,INFY,0.0,0
2025-04-01,ITC,0.0,0
2025-04-01,JIOFIN,0.0,0
2025-04-01,JSWSTEEL,0.0,0
2025-04-01,KOTAKBANK,0.0,0
2025-04-01,LT,0.0,0
2025-04-01,M&M,0.0,0
2025-04-01,MARUTI,0.0,0
2025-04-01,MAXHEALTH,0.0,0
2025-04-01,NESTLEIND,0.0,0
2025-04-01,NTPC,0.0,0
2025-04-01,ONGC,0.0,0
2025-04-01,POWERGRID,0.0,0
2025-04-01,RELIANCE,0.0,0
2025-04-01,SBILIFE,0.0,0
2025-04-01,SBIN,0.0,0
2025-04-01,SHRIRAMFIN,0.0,0
2025-04-01,SUNPHARMA,0.0,0
2025-04-01,TATACONSUM,0.0,0
2025-04-01,TATASTEEL,0.0,0
2025-04-01,TCS,0.0,0
2025-04-01,TECHM,0.0,0
2025-04-01,TITAN,0.0,0
2025-04-01,TMPV,0.0,0
2025-04-01,TRENT,0.0,0
2025-04-01,ULTRACEMCO,0.0,0
2025-04-01,WIPRO,0.0,0
2025-04-02,ADANIENT,0.0,0
2025-04-02,ADANIPORTS,0.0,0
2025-04-02,APOLLOHOSP,0.0,0
2025-04-02,ASIANPAINT,0.0,0
2025-04-02,AXISBANK,0.0,0
2025-04-02,BAJAJ-AUTO,0.0,0
2025-04-02,BAJAJFINSV,0.0,0
2025-04-02,BAJFINANCE,0.0,0
2025-04-02,BEL,0.0,0
2025-04-02,BHARTIARTL,0.0,0
2025-04-02,CIPLA,0.0,0
2025-04-02,COALINDIA,0.0,0
2025-04-02,DRREDDY,0.0,0
2025-04-02,EICHERMOT,0.0,0
2025-04-02,ETERNAL,0.0,0
2025-04-02,GRASIM,0.0,0
2025-04-02,HCLTECH,0.0,0
2025-04-02,HDFCBANK,0.0,0
2025-04-02,HDFCLIFE,0.0,0
2025-04-02,HINDALCO,0.0,0
2025-04-02,HINDUNILVR,0.0,0
2025-04-02,ICICIBANK,0.0,0
2025-04-02,INDIGO,0.0,0
2025-04-02,INFY,0.0,0
2025-04-02,ITC,0.0,0
2025-04-02,JIOFIN,0.0,0
2025-04-02,JSWSTEEL,0.0,0
2025-04-02,KOTAKBANK,0.0,0
2025-04-02,LT,0.0,0
2025-04-02,M&M,0.0,0
2025-04-02,MARUTI,0.0,0
2025-04-02,MAXHEALTH,0.0,0
2025-04-02,NESTLEIND,0.0,0
2025-04-02,NTPC,0.0,0
2025-04-02,ONGC,0.0,0
2025-04-02,POWERGRID,0.0,0
2025-04-02,RELIANCE,0.0,0
2025-04-02,SBILIFE,0.0,0
2025-04-02,SBIN,0.0,0
2025-04-02,SHRIRAMFIN,0.0,0
